canton,date,week,year,doses_delivered,first_doses,second_doses,total_vaccinations,source
SO,2021-01-13,,,,5003,,5003,https://corona.so.ch/index.php?id=27979
SO,2021-01-14,,,,5744,,5744,https://corona.so.ch/index.php?id=27979
SO,2021-01-18,,,,7232,,7232,https://corona.so.ch/index.php?id=27979
SO,2021-01-19,,,,7934,,7934,https://corona.so.ch/index.php?id=27979
SO,2021-01-20,,,,8808,,8808,https://corona.so.ch/index.php?id=27979
SO,2021-01-21,,,,9387,,9387,https://corona.so.ch/index.php?id=27979
SO,2021-01-22,,,,10075,,10075,https://corona.so.ch/index.php?id=27979
SO,2021-01-25,,,,10899,,10899,https://corona.so.ch/index.php?id=27979
SO,2021-01-26,,,,11379,,11379,https://corona.so.ch/index.php?id=27979
SO,2021-01-27,,,,11846,,11846,https://corona.so.ch/index.php?id=27979
SO,2021-01-28,,,,12287,,12287,https://corona.so.ch/index.php?id=27979
SO,2021-01-29,,,,13537,,13537,https://corona.so.ch/index.php?id=27979
SO,2021-02-01,,,,14019,,14019,https://corona.so.ch/index.php?id=27979
SO,2021-02-02,,,,14140,,14140,https://corona.so.ch/index.php?id=27979
SO,2021-02-03,,,,14288,,14288,https://corona.so.ch/index.php?id=27979
SO,2021-02-04,,,,14387,,14387,https://corona.so.ch/index.php?id=27979
SO,2021-02-05,,,,14519,,14519,https://corona.so.ch/index.php?id=27979
SO,2021-02-09,,,,14262,,14262,https://corona.so.ch/index.php?id=27979
SO,2021-02-10,,,,14476,,14476,https://corona.so.ch/index.php?id=27979
SO,2021-02-11,,,,14772,,14772,https://corona.so.ch/index.php?id=27979
SO,2021-02-12,,,,14970,,14970,https://corona.so.ch/index.php?id=27979
SO,2021-02-15,,,,15156,,15156,https://corona.so.ch/index.php?id=27979
SO,2021-02-16,,,,15443,,15443,https://corona.so.ch/index.php?id=27979
SO,2021-02-17,,,,15742,,15742,https://corona.so.ch/index.php?id=27979
SO,2021-02-18,,,,15857,,15857,https://corona.so.ch/index.php?id=27979
SO,2021-02-19,,,,15980,,15980,https://corona.so.ch/index.php?id=27979
SO,2021-02-22,,,,15986,,15986,https://corona.so.ch/index.php?id=27979
SO,2021-02-23,,,,17664,,17664,https://corona.so.ch/index.php?id=27979
SO,2021-02-24,,,,17828,11804,29632,https://corona.so.ch/bevoelkerung/daten/impfstatistik/
SO,2021-02-25,,,,17955,12676,30631,https://corona.so.ch/bevoelkerung/daten/impfstatistik/
SO,2021-03-01,,,,18124,13824,31948,https://corona.so.ch/bevoelkerung/daten/impfstatistik/
SO,2021-03-02,,,,18505,14022,32527,https://corona.so.ch/bevoelkerung/daten/impfstatistik/
SO,2021-03-03,,,,19161,14143,33304,https://corona.so.ch/bevoelkerung/daten/impfstatistik/
SO,2021-03-04,,,,19722,14282,34004,https://corona.so.ch/bevoelkerung/daten/impfstatistik/
SO,2021-03-05,,,,20343,14416,34759,https://corona.so.ch/bevoelkerung/daten/impfstatistik/
SO,2021-03-09,,,,21309,14721,36030,https://corona.so.ch/bevoelkerung/daten/impfstatistik/
