canton,date,week,year,doses_delivered,first_doses,second_doses,total_vaccinations,source
BE,2021-01-12,,,,573,0,573,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-01-13,,,,1318,0,1318,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-01-14,,,,2123,0,2123,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-01-15,,,,3218,0,3218,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-01-18,,,,4387,0,4387,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-01-19,,,,6064,0,6064,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-01-20,,,,7859,0,7859,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-01-21,,,,9904,0,9904,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-01-22,,,,12126,0,12126,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-01-25,,,,14308,0,14308,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-01-26,,,,16149,0,16149,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-01-27,,,,18065,0,18065,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-01-28,,,,20094,0,20094,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-01-29,,,,22179,0,22179,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-02-01,,,,24385,0,24385,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-02-02,,,,26798,0,26798,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-02-03,,,,29152,0,29152,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-02-04,,,,31375,0,31375,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-02-05,,,,33472,0,33472,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-02-08,,,,35523,0,35523,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-02-09,,,,36961,684,37645,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-02-10,,,,38720,1397,40117,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-02-11,,,,40684,2236,42920,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-02-12,,,,42653,3408,46061,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-02-15,,,,46355,4566,50921,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-02-16,,,,48639,6124,54763,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-02-17,,,,51106,8073,59179,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-02-18,,,,53187,9857,63044,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-02-19,,,,55922,11859,67781,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-02-22,,,,57762,14094,71856,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-02-23,,,,58757,15851,74608,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-02-24,,,,60308,18242,78550,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-02-25,,,,61362,20438,81800,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-02-26,,,,62361,22589,84950,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-03-01,,,,63126,24715,87841,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-03-02,,,,63919,27062,90981,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-03-03,,,,64785,29561,94346,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-03-04,,,,65687,31812,97499,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
BE,2021-03-05,,,,66955,33892,100847,https://www.besondere-lage.sites.be.ch/de/start/impfen.html
