canton,date,week,year,doses_delivered,first_doses,second_doses,total_vaccinations,source
FL,2021-02-12,,,3750,836,329,1165,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-02-19,,,3750,1358,447,1805,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-02-26,,,3750,1770,819,2589,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-03-05,,,5525,2298,820,3118,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-03-12,,,5525,2945,821,3766,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-03-19,,,5525,2996,1336,4332,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-03-26,,,8100,3724,1735,5459,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-04-02,,,9600,4206,2267,6473,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-04-09,,,9600,4471,2912,7383,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-04-16,,,10575,5863,2966,8829,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-04-23,,,13050,7739,3687,11426,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-04-30,,,14220,8829,4165,12994,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-05-07,,,17595,9919,4419,14338,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-05-14,,,18765,10516,5786,16302,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-05-21,,,22265,11393,7654,19047,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-05-28,,,23435,12538,8712,21250,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-06-04,,,28235,14223,9799,24022,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-06-11,,,29405,16465,10431,26896,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-06-18,,,31705,18431,11272,29703,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-06-25,,,35375,18920,12400,31320,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-07-02,,,41775,19571,14025,33596,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-07-09,,,41775,20036,16177,36213,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-07-16,,,44145,20447,18092,38539,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-07-23,,,45345,20477,18697,39174,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-07-30,,,45345,20477,18697,39174,https://www.llv.li/files/as/impfungen.xlsx
FL,2021-08-02,,,45345,20477,18697,39174,https://www.llv.li/files/as/impfungen.xlsx
